layer_name,Name,Description,longitude,latitude,Maps link
"Hotels and accomodation, charging on private premises",Røros Hotell,"1 x 22 kW, max NOK30/HR (Credits to Tesla Owners Club Norway)",11.377801,62.580418,"https://www.google.com/maps/place/62.580418,11.377801"
"Hotels and accomodation, charging on private premises",Ca' del Lago,Ask the owner - 3x16A socket in the garage!,9.293575,46.138929,"https://www.google.com/maps/place/46.138929,9.293575"
"Hotels and accomodation, charging on private premises",Walensee,Source: tff-forum.de,9.256606,47.114749,"https://www.google.com/maps/place/47.114749,9.256606"
"Hotels and accomodation, charging on private premises",Panorama Hotel Lohme,Source: tff-forum.de,13.61131,54.584177,"https://www.google.com/maps/place/54.584177,13.61131"
"Hotels and accomodation, charging on private premises",Parkhotel Zug,Source: tff-forum.de,8.518911,47.172195,"https://www.google.com/maps/place/47.172195,8.518911"
"Hotels and accomodation, charging on private premises",The Chedi Andermatt,Source: tff-forum.de,8.594354,46.636476,"https://www.google.com/maps/place/46.636476,8.594354"
"Hotels and accomodation, charging on private premises",Gasthof Kreuz Egerkingen AG,Source: tff-forum.de,7.795757,47.322118,"https://www.google.com/maps/place/47.322118,7.795757"
"Hotels and accomodation, charging on private premises",Gasthof Zum Alten Brauhaus,Source: tff-forum.de,6.458604,50.775305,"https://www.google.com/maps/place/50.775305,6.458604"
"Hotels and accomodation, charging on private premises",Gasthof Sauerwald,Source: tff-forum.de,8.390491,51.357746,"https://www.google.com/maps/place/51.357746,8.390491"
"Hotels and accomodation, charging on private premises",Kapuzinergarten,Source: tff-forum.de,7.578168,48.032337,"https://www.google.com/maps/place/48.032337,7.578168"
"Hotels and accomodation, charging on private premises",Wasserstelz,Source: tff-forum.de,8.401592,47.578297,"https://www.google.com/maps/place/47.578297,8.401592"
"Hotels and accomodation, charging on private premises",Hotelpark Stadtbrauerei Arnstadt,Source: tff-forum.de,10.95328,50.82729,"https://www.google.com/maps/place/50.82729,10.95328"
"Hotels and accomodation, charging on private premises",Hotel ibis budget Berlin Kurfuerstendamm,Source: tff-forum.de,13.34465,52.5028,"https://www.google.com/maps/place/52.5028,13.34465"
"Hotels and accomodation, charging on private premises",Hotel Peterchens Mondfahrt,Source: tff-forum.de,9.678097,50.553733,"https://www.google.com/maps/place/50.553733,9.678097"
"Hotels and accomodation, charging on private premises",Das Nichtraucherhotel PRIVAT,Source: tff-forum.de,13.76565,51.06897,"https://www.google.com/maps/place/51.06897,13.76565"
"Hotels and accomodation, charging on private premises",Georg Falkner,Source: tff-forum.de,11.011247,46.963069,"https://www.google.com/maps/place/46.963069,11.011247"
"Hotels and accomodation, charging on private premises",Das Kranzbach,Source: tff-forum.de,11.214643,47.472509,"https://www.google.com/maps/place/47.472509,11.214643"
"Hotels and accomodation, charging on private premises",AKZENT Parkhotel Trebbin,Source: tff-forum.de,13.224588,52.217428,"https://www.google.com/maps/place/52.217428,13.224588"
"Hotels and accomodation, charging on private premises",Villa Röhl,Source: tff-forum.de,10.776123,54.003253,"https://www.google.com/maps/place/54.003253,10.776123"
"Hotels and accomodation, charging on private premises",BaseCamp Hostel Bonn,Source: tff-forum.de,7.123834,50.707603,"https://www.google.com/maps/place/50.707603,7.123834"
"Hotels and accomodation, charging on private premises",Hessen Hotelpark Hohenroda,Source: tff-forum.de,9.89995,50.80907,"https://www.google.com/maps/place/50.80907,9.89995"
"Hotels and accomodation, charging on private premises",Peterchens Mondfahrt,Source: tff-forum.de,9.947004,50.498844,"https://www.google.com/maps/place/50.498844,9.947004"
"Hotels and accomodation, charging on private premises",Hotel 7THINGS - my basic hotel - Bremen,Source: tff-forum.de,8.847706,53.105999,"https://www.google.com/maps/place/53.105999,8.847706"
"Hotels and accomodation, charging on private premises",andel's Hotel Berlin,Source: tff-forum.de,13.457555,52.528499,"https://www.google.com/maps/place/52.528499,13.457555"
"Hotels and accomodation, charging on private premises",Wellnesshotel Erika,Source: tff-forum.de,11.156659,46.687374,"https://www.google.com/maps/place/46.687374,11.156659"
"Hotels and accomodation, charging on private premises",Berggasthof Hotel Höchsten,Source: tff-forum.de,9.40464,47.8177,"https://www.google.com/maps/place/47.8177,9.40464"
"Hotels and accomodation, charging on private premises",Hotel Kaiserhof,Source: tff-forum.de,13.060463,47.726601,"https://www.google.com/maps/place/47.726601,13.060463"
"Hotels and accomodation, charging on private premises",Hotel Kreuzeck,Source: tff-forum.de,11.06169,49.47684,"https://www.google.com/maps/place/49.47684,11.06169"
"Hotels and accomodation, charging on private premises",Gutshof Güntert,Source: tff-forum.de,7.68459,47.84281,"https://www.google.com/maps/place/47.84281,7.68459"
"Hotels and accomodation, charging on private premises",Waldhotel Sommerberg,Source: tff-forum.de,8.280373,48.534412,"https://www.google.com/maps/place/48.534412,8.280373"
"Hotels and accomodation, charging on private premises",Mühle am Schlossberg,Source: tff-forum.de,7.851444,49.530953,"https://www.google.com/maps/place/49.530953,7.851444"
"Hotels and accomodation, charging on private premises",Woehrdersee Hotel Mercure Nuernberg City,Source: tff-forum.de,11.096926,49.449221,"https://www.google.com/maps/place/49.449221,11.096926"
"Hotels and accomodation, charging on private premises",Hotel Bergwelt,Source: tff-forum.de,10.953487,47.100179,"https://www.google.com/maps/place/47.100179,10.953487"
"Hotels and accomodation, charging on private premises",Landgasthaus Pfahl,Source: tff-forum.de,6.80988,50.44353,"https://www.google.com/maps/place/50.44353,6.80988"
"Hotels and accomodation, charging on private premises",Hotel-Garni Gut Tribbevitz,Source: tff-forum.de,13.334988,54.519397,"https://www.google.com/maps/place/54.519397,13.334988"
"Hotels and accomodation, charging on private premises",Laurentius,Source: tff-forum.de,9.89778,49.48047,"https://www.google.com/maps/place/49.48047,9.89778"
